X,Y,distance,id,wys,height
707244.78350662393,5713853.4270364251,0.000000000000000,0,"9,854032007",9.854
707244.50011192251,5713854.3920789128,1.005793000000000,1,"9,854032007",9.854
707244.21671722108,5713855.3571213987,2.011586000000000,2,"9,867197611",9.867
707243.93332251976,5713856.3221638864,3.017379000000000,3,"9,867197611",9.867
707243.64992781833,5713857.2872063741,4.023172000000000,4,"9,880363216",9.880
707243.36653311702,5713858.2522488609,5.028965000000000,5,"9,880363216",9.880
707243.08313841559,5713859.2172913477,6.034757999999999,6,"9,880363216",9.880
707242.79974371428,5713860.1823338354,7.040550999999999,7,"9,886946018",9.887
707242.51634901285,5713861.1473763222,8.046344000000000,8,"9,886946018",9.887
707242.23295431153,5713862.1124188099,9.052137000000000,9,"9,900111622",9.900
707241.9495596101,5713863.0774612967,10.057930000000001,10,"9,906694424",9.907
707241.66616490867,5713864.0425037835,11.063723000000001,11,"9,913277226",9.913
707241.38277020724,5713865.0075462712,12.069516000000002,12,"9,919860028",9.920
707241.09937550593,5713865.9725887589,13.075309000000003,13,"9,933025632",9.933
707240.81598080462,5713866.9376312457,14.081102000000003,14,"9,933025632",9.933
707240.53258610307,5713867.9026737325,15.086895000000004,15,"9,939608435",9.940
707240.24919140176,5713868.8677162202,16.092688000000003,16,"9,946191237",9.946
707239.96579670033,5713869.8327587061,17.098481000000003,17,"9,952774039",9.953
707239.68240199902,5713870.7978011947,18.104274000000004,18,"9,952774039",9.953
707239.39900729759,5713871.7628436815,19.110067000000004,19,"9,959356841",9.959
707239.11561259627,5713872.7278861692,20.115860000000005,20,"9,959356841",9.959
707238.83221789473,5713873.692928656,21.121653000000006,21,"9,972522445",9.973
707238.54882319341,5713874.6579711428,22.127446000000006,22,"9,972522445",9.973
707238.2654284921,5713875.6230136305,23.133239000000007,23,"9,979105247",9.979
707237.98203379067,5713876.5880561173,24.139032000000007,24,"9,985688049",9.986
707237.69863908924,5713877.553098605,25.144825000000008,25,"9,992270852",9.992
707237.41524438793,5713878.5181410918,26.150618000000009,26,"9,992270852",9.992
